id_encuestado,carrera,semestre,jornada,trabaja,promedio_actual,q01_horas_estudio,q02_planificacion,q03_entrega_tareas,q04_trabajo_equipo,q05_asistencia,q06_uso_biblioteca,q07_uso_plataformas,q08_consulta_tutorias,q09_disponibilidad_laboratorios,q10_calidad_internet,q11_claridad_docente,q12_puntualidad_docente,q13_retroalimentacion,q14_evaluacion_justa,q15_dificultad_cursos,q16_estres_academico,q17_equilibrio_vida_estudio,q18_satisfaccion_carrera,q19_intencion_continuar,q20_recomendaria_facultad
1702,Ingeniería de Sistemas,6,Vespertina,No,65,1,3,2,4,3,3,5,2,5,5,3,4,4,1,3,2,2,3,3,4
1703,Ingeniería de Sistemas,5,Matutina,No,85,1,3,3,4,4,4,3,2,2,3,5,3,3,4,3,4,4,4,4,3
1704,Ingeniería de Sistemas,7,Matutina,Sí,75,2,2,2,3,2,3,4,4,2,4,3,1,3,3,5,4,2,4,3,5
1705,Ingeniería Eléctrica,5,Matutina,Sí,58,2,2,2,3,2,4,2,4,4,3,3,4,2,3,3,1,3,2,4,4
1706,Ingeniería Electrónica,7,Matutina,No,81,4,3,3,3,4,2,3,3,2,2,4,3,3,3,4,4,4,3,4,3
1707,Ingeniería de Sistemas,6,Matutina,No,78,2,4,3,3,4,4,4,4,3,3,2,4,3,3,5,1,3,2,4,3
1708,Ingeniería Electrónica,6,Vespertina,Sí,62,4,2,2,1,1,3,4,2,3,4,4,4,3,3,4,5,2,4,3,3
1709,Ingeniería Eléctrica,7,Matutina,No,79,3,5,5,2,3,3,3,3,5,4,2,3,3,4,3,3,3,5,4,3
1710,Ingeniería de Sistemas,5,Matutina,No,52,2,3,1,1,2,3,2,4,3,2,4,3,4,4,3,4,4,3,4,4
1711,Ingeniería Electrónica,6,Nocturna,No,59,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,2,5,5,3
1712,Ingeniería Eléctrica,6,Vespertina,Sí,81,4,3,3,4,5,2,1,3,1,2,4,5,2,3,4,4,3,5,4,3
1713,Ingeniería Electrónica,7,Matutina,No,76,3,2,2,3,3,3,4,3,3,4,3,3,4,3,4,3,5,3,4,2
1714,Ingeniería Electrónica,7,Vespertina,Sí,61,2,2,4,2,2,4,3,3,2,3,4,3,3,3,3,5,3,5,5,4
1715,Ingeniería Electrónica,6,Vespertina,No,79,2,2,3,3,2,3,3,3,1,4,3,4,5,4,5,1,3,2,4,4
1716,Ingeniería Electrónica,6,Matutina,No,70,2,2,3,1,3,1,3,2,4,3,5,2,3,3,4,5,1,3,5,3
1717,Ingeniería de Sistemas,6,Nocturna,Sí,60,1,1,3,1,4,3,4,5,2,2,3,4,3,3,4,5,2,3,3,2
1718,Ingeniería Eléctrica,7,Matutina,No,76,4,3,3,4,3,2,4,3,2,2,4,3,3,3,4,3,1,3,3,4
1719,Ingeniería de Sistemas,6,Nocturna,Sí,69,4,4,2,2,4,4,3,2,2,2,4,4,3,3,3,5,2,4,4,3
1720,Ingeniería Electrónica,7,Matutina,No,53,1,3,5,3,1,3,4,4,3,3,4,4,4,3,4,3,5,2,4,2
1721,Ingeniería de Sistemas,7,Matutina,Sí,61,3,2,4,1,3,3,4,3,2,2,3,3,4,4,4,4,4,3,3,2
1722,Ingeniería de Sistemas,5,Matutina,No,83,4,3,4,3,4,3,4,3,4,2,4,4,4,4,4,3,2,4,5,5
1723,Ingeniería de Sistemas,6,Nocturna,Sí,71,3,4,4,3,3,3,4,2,2,3,1,3,3,3,3,4,1,5,3,2
1724,Ingeniería de Sistemas,7,Matutina,Sí,63,1,3,3,3,2,3,3,4,3,4,3,3,2,5,3,4,4,3,4,3
1725,Ingeniería Eléctrica,5,Matutina,No,65,3,3,4,3,3,3,3,2,2,3,3,4,3,3,3,3,5,3,4,4
1726,Ingeniería de Sistemas,6,Matutina,No,66,1,2,4,2,2,4,1,3,2,3,4,4,5,4,4,5,1,5,5,3
1727,Ingeniería Eléctrica,5,Matutina,Sí,66,2,2,2,3,4,3,1,4,3,1,2,3,4,3,2,4,4,4,2,4
1728,Ingeniería Electrónica,6,Nocturna,Sí,75,3,3,4,2,4,4,3,2,3,4,5,4,3,4,4,4,2,4,4,5
1729,Ingeniería Eléctrica,7,Vespertina,No,86,4,4,4,3,3,3,3,2,3,3,4,2,2,3,3,3,4,3,2,3
1730,Ingeniería Eléctrica,5,Matutina,No,60,2,2,2,2,3,2,3,2,3,2,5,3,3,3,3,2,3,3,4,3
1731,Ingeniería de Sistemas,5,Vespertina,Sí,58,2,2,3,2,3,1,3,4,2,3,5,3,4,4,3,3,2,4,2,4
1732,Ingeniería de Sistemas,5,Nocturna,Sí,68,3,2,2,2,2,3,4,3,3,4,4,5,3,3,3,5,4,2,5,4
1733,Ingeniería de Sistemas,7,Nocturna,Sí,65,3,2,4,1,4,3,4,3,4,3,2,2,3,4,5,3,1,4,3,4
1734,Ingeniería Electrónica,5,Matutina,Sí,62,3,2,3,3,3,2,3,4,3,1,2,2,4,3,3,3,2,4,4,3
1735,Ingeniería Electrónica,7,Matutina,Sí,69,2,2,3,1,2,2,4,2,4,2,4,2,3,3,4,4,3,4,3,3
1736,Ingeniería de Sistemas,6,Matutina,No,76,4,3,3,5,2,3,4,3,3,5,3,3,1,3,3,3,4,3,3,5
1737,Ingeniería Eléctrica,7,Nocturna,Sí,81,4,3,3,3,3,2,2,2,3,3,5,3,4,3,4,3,2,4,4,4
1738,Ingeniería Eléctrica,7,Matutina,No,64,2,3,3,3,4,5,2,4,4,2,3,4,3,3,3,2,2,3,3,4
1739,Ingeniería Eléctrica,5,Vespertina,Sí,61,3,1,2,2,4,3,1,2,4,3,4,5,3,4,4,4,2,3,2,2
1740,Ingeniería Eléctrica,5,Nocturna,Sí,70,3,2,2,4,3,2,4,3,2,3,4,3,3,1,3,3,2,2,3,3
1741,Ingeniería de Sistemas,6,Nocturna,No,79,5,3,3,3,4,3,4,5,4,4,5,4,3,3,4,2,2,3,4,4
1742,Ingeniería Eléctrica,6,Vespertina,No,73,4,2,3,5,3,4,3,4,2,3,5,3,4,4,2,3,2,4,4,3
1743,Ingeniería Electrónica,5,Matutina,No,75,4,3,3,4,4,4,4,4,4,4,5,4,2,4,3,3,4,3,3,1
1744,Ingeniería de Sistemas,5,Nocturna,Sí,70,2,2,3,3,2,5,3,3,4,4,3,4,3,5,3,4,2,4,3,3
1745,Ingeniería de Sistemas,6,Matutina,No,64,3,4,4,5,4,3,3,4,4,1,2,3,3,2,4,4,3,2,4,2
1746,Ingeniería de Sistemas,5,Vespertina,Sí,80,3,4,3,2,3,4,2,4,4,3,4,4,3,3,4,4,2,3,3,3
1747,Ingeniería de Sistemas,6,Vespertina,No,70,3,2,4,4,3,1,3,4,3,3,4,3,2,4,3,2,4,2,3,5
1748,Ingeniería Eléctrica,7,Vespertina,No,81,3,5,3,4,3,1,4,4,3,3,3,3,3,4,3,4,4,4,4,3
1749,Ingeniería de Sistemas,6,Matutina,No,58,1,4,3,2,3,2,2,4,2,3,4,4,3,4,4,4,5,2,3,4
1750,Ingeniería Eléctrica,5,Vespertina,No,81,3,2,2,2,3,1,4,3,2,2,3,4,4,3,2,2,2,3,3,2
1751,Ingeniería de Sistemas,6,Matutina,No,87,4,3,4,4,3,3,5,3,3,3,4,4,3,4,4,3,3,4,3,4
1752,Ingeniería de Sistemas,5,Matutina,No,69,3,2,2,4,3,4,3,5,2,3,3,4,2,2,3,4,2,4,3,3
1753,Ingeniería Electrónica,6,Matutina,Sí,72,3,2,4,3,3,2,5,3,3,2,3,2,3,4,3,4,4,3,3,3
1754,Ingeniería Eléctrica,7,Nocturna,No,71,3,3,3,2,4,3,2,2,3,3,4,4,2,4,5,4,3,3,4,3
1755,Ingeniería de Sistemas,5,Matutina,No,70,2,3,4,3,2,4,4,5,3,4,3,3,4,2,1,2,2,2,4,3
1756,Ingeniería Electrónica,5,Vespertina,No,74,4,3,4,4,3,2,2,3,4,3,3,2,3,2,2,3,3,4,4,3
1757,Ingeniería Eléctrica,7,Matutina,No,68,4,2,3,3,2,3,4,3,5,3,2,4,3,3,3,3,3,5,3,3
1758,Ingeniería de Sistemas,6,Nocturna,Sí,67,3,3,2,3,3,4,3,3,4,4,1,2,3,5,3,4,2,4,4,4
1759,Ingeniería de Sistemas,7,Nocturna,Sí,77,3,1,3,3,2,4,4,3,4,3,4,4,3,4,3,3,1,4,3,2
1760,Ingeniería Eléctrica,5,Matutina,No,76,2,3,4,5,5,3,3,2,4,2,3,4,4,3,3,2,3,3,2,4
1761,Ingeniería de Sistemas,6,Matutina,No,64,2,4,1,3,1,4,3,5,4,3,3,5,5,5,2,3,2,3,4,4
1762,Ingeniería de Sistemas,6,Nocturna,No,74,4,3,3,4,3,3,2,4,4,4,3,4,3,4,4,2,2,4,3,4
1763,Ingeniería Eléctrica,7,Matutina,No,72,3,4,4,3,2,2,4,4,1,4,3,3,4,4,3,4,3,3,5,4
1764,Ingeniería de Sistemas,5,Matutina,No,80,4,3,3,4,5,3,3,4,4,4,4,3,2,5,4,2,4,3,4,3
1765,Ingeniería de Sistemas,6,Matutina,No,71,3,4,3,4,4,2,3,2,3,3,4,2,3,3,4,3,4,3,5,3
1766,Ingeniería Electrónica,7,Matutina,No,75,2,3,3,4,2,4,4,3,2,5,4,3,4,2,5,5,4,3,2,5
1767,Ingeniería de Sistemas,5,Matutina,No,79,3,2,1,3,3,1,5,4,4,3,4,3,3,5,4,3,5,3,3,4
1768,Ingeniería de Sistemas,6,Vespertina,No,83,4,3,4,4,3,2,3,2,3,5,2,5,3,2,4,3,4,4,4,3
1769,Ingeniería Eléctrica,6,Vespertina,No,83,4,4,3,3,4,2,3,2,3,3,4,4,3,2,3,2,2,3,3,4
1770,Ingeniería Electrónica,6,Matutina,Sí,66,3,2,4,3,3,3,5,4,3,3,2,4,2,5,4,3,4,4,4,3
1771,Ingeniería de Sistemas,6,Matutina,No,72,3,2,3,2,4,1,3,2,3,3,3,3,2,3,2,1,4,3,5,5
1772,Ingeniería de Sistemas,6,Matutina,No,67,4,3,4,2,4,4,3,4,2,3,4,3,3,4,2,3,3,3,5,3
1773,Ingeniería de Sistemas,7,Matutina,No,85,4,2,4,3,4,3,2,4,2,2,3,3,2,3,4,3,1,4,4,2
1774,Ingeniería Electrónica,5,Matutina,No,68,3,4,3,4,2,4,5,3,3,4,4,4,3,3,3,2,4,3,4,3
1775,Ingeniería Electrónica,5,Matutina,Sí,72,1,2,2,2,4,5,3,3,4,4,2,4,4,3,4,2,1,4,4,3
1776,Ingeniería de Sistemas,7,Nocturna,Sí,83,5,4,4,2,5,3,5,2,4,4,1,5,4,2,4,4,3,3,3,4
1777,Ingeniería Eléctrica,5,Matutina,No,73,3,2,3,2,5,2,3,4,3,4,2,4,4,1,2,2,3,3,4,3
1778,Ingeniería Electrónica,6,Matutina,Sí,80,3,2,4,3,4,3,3,3,5,5,2,4,2,3,3,4,2,4,5,4
1779,Ingeniería de Sistemas,5,Vespertina,No,62,2,2,2,3,2,3,4,1,4,3,3,4,4,4,4,3,3,3,4,4
1780,Ingeniería de Sistemas,6,Matutina,No,59,2,3,4,3,3,2,3,2,3,3,3,3,3,2,4,3,3,4,4,4
1781,Ingeniería Eléctrica,6,Matutina,No,77,3,1,4,2,3,3,4,4,3,4,3,5,2,3,4,3,3,5,5,3
1782,Ingeniería Electrónica,5,Nocturna,No,71,3,3,4,4,3,3,3,3,4,4,3,5,4,4,5,4,3,4,2,3
1783,Ingeniería Eléctrica,6,Matutina,No,65,3,2,4,3,3,3,4,4,2,4,4,5,3,1,2,2,4,5,3,3
1784,Ingeniería Eléctrica,5,Matutina,No,72,2,3,2,2,2,4,3,2,2,2,3,2,3,3,2,4,3,3,4,2
1785,Ingeniería de Sistemas,6,Nocturna,Sí,51,2,2,3,2,2,5,4,2,5,4,5,3,3,3,3,5,3,1,3,3
1786,Ingeniería Electrónica,6,Matutina,Sí,84,5,4,2,4,3,2,3,2,3,3,2,5,3,3,5,4,5,3,4,4
1787,Ingeniería Electrónica,7,Vespertina,No,56,2,3,3,3,2,3,3,3,2,3,4,5,3,3,4,3,3,2,4,4
1788,Ingeniería de Sistemas,7,Matutina,No,76,5,3,5,3,4,3,2,4,1,3,4,2,4,3,3,3,3,4,4,3
1789,Ingeniería Eléctrica,6,Matutina,No,58,3,2,3,3,2,4,4,2,2,2,4,3,4,5,4,3,3,3,3,3
1790,Ingeniería Electrónica,5,Matutina,Sí,73,3,2,3,3,4,3,4,3,2,2,4,4,2,4,2,3,3,3,5,4
1791,Ingeniería Electrónica,5,Matutina,Sí,76,4,3,4,2,3,3,4,4,3,3,3,3,3,3,2,3,3,4,2,5
1792,Ingeniería Electrónica,7,Matutina,Sí,62,3,3,4,3,1,2,3,4,3,3,4,4,1,2,5,4,1,3,5,4
1793,Ingeniería de Sistemas,6,Matutina,No,64,3,3,2,3,3,3,3,2,2,5,4,3,4,3,4,4,2,3,2,4
1794,Ingeniería Eléctrica,6,Matutina,No,76,3,2,3,3,5,4,4,3,4,3,4,2,4,2,3,3,2,4,5,3
1795,Ingeniería de Sistemas,6,Vespertina,Sí,78,2,5,3,3,4,4,1,4,5,3,3,3,3,4,5,3,3,2,2,3
1796,Ingeniería de Sistemas,7,Matutina,Sí,73,3,4,2,4,3,3,3,4,3,1,3,4,2,3,3,5,3,4,2,3
1797,Ingeniería Electrónica,7,Vespertina,No,63,3,3,4,2,3,2,3,2,2,1,3,4,4,2,4,4,3,3,2,3
1798,Ingeniería Eléctrica,5,Nocturna,Sí,80,2,2,1,5,4,3,3,4,4,1,3,4,3,3,4,3,5,5,3,4
1799,Ingeniería de Sistemas,6,Matutina,No,67,3,4,3,4,3,4,5,3,4,3,4,1,2,4,2,3,5,4,5,3
1800,Ingeniería Electrónica,5,Nocturna,Sí,61,2,3,3,4,3,2,2,4,4,3,4,4,3,2,4,5,3,3,3,4
1801,Ingeniería de Sistemas,7,Vespertina,No,60,3,2,1,5,3,5,4,3,3,4,4,4,4,4,4,3,4,2,3,4
1802,Ingeniería Eléctrica,6,Nocturna,Sí,64,2,1,4,2,4,3,5,2,2,3,4,4,4,5,4,3,2,2,4,4
1803,Ingeniería Electrónica,7,Nocturna,Sí,72,2,4,2,1,2,2,3,3,2,3,4,4,4,3,3,5,3,3,3,3
1804,Ingeniería Eléctrica,6,Matutina,No,71,2,2,2,4,3,2,3,3,3,5,4,4,5,3,4,3,3,3,4,3
1805,Ingeniería de Sistemas,7,Matutina,No,83,5,5,5,4,5,2,3,5,2,3,4,4,4,4,3,4,3,3,3,5
1806,Ingeniería Eléctrica,5,Vespertina,No,82,4,3,4,3,5,3,2,3,3,2,4,2,4,4,2,3,3,5,3,4
1807,Ingeniería de Sistemas,7,Matutina,No,87,5,4,4,3,3,2,3,4,3,3,3,5,4,2,4,3,3,4,5,4
1808,Ingeniería de Sistemas,5,Vespertina,No,70,2,3,5,3,3,3,3,2,2,3,4,4,4,5,5,3,4,4,5,4
1809,Ingeniería Eléctrica,7,Nocturna,Sí,67,3,3,5,3,3,3,2,4,3,3,3,2,5,4,5,4,3,4,4,3
1810,Ingeniería Electrónica,6,Vespertina,No,70,2,2,4,3,2,3,2,3,3,3,4,3,3,4,4,2,4,4,3,2
1811,Ingeniería Electrónica,6,Matutina,Sí,72,2,4,3,3,3,5,3,4,4,3,2,3,4,2,4,5,3,4,4,4
1812,Ingeniería de Sistemas,6,Vespertina,Sí,84,5,4,5,3,4,2,3,3,4,3,2,4,3,2,3,3,3,4,3,3
1813,Ingeniería de Sistemas,5,Nocturna,Sí,71,1,3,4,2,4,4,4,3,3,3,4,4,3,2,3,3,1,3,4,3
1814,Ingeniería Electrónica,5,Matutina,No,79,4,2,3,2,4,4,3,3,3,2,4,3,4,3,4,3,4,5,2,3
1815,Ingeniería de Sistemas,6,Matutina,No,78,4,4,2,4,4,2,4,2,3,4,3,3,3,3,3,5,2,3,4,4
1816,Ingeniería Eléctrica,5,Nocturna,Sí,74,4,3,4,2,3,2,2,2,4,3,3,3,5,4,2,3,2,3,4,3
1817,Ingeniería Electrónica,5,Vespertina,No,59,4,2,2,2,2,3,4,2,5,2,1,4,2,3,3,3,4,3,3,4
1818,Ingeniería de Sistemas,6,Matutina,No,69,3,3,3,4,3,4,2,1,3,3,3,4,4,4,3,4,4,2,3,4
1819,Ingeniería de Sistemas,5,Matutina,No,63,3,3,2,3,5,3,4,3,1,3,4,3,2,4,5,3,3,5,4,2
1820,Ingeniería Electrónica,6,Matutina,Sí,76,3,5,3,3,4,2,5,3,4,4,3,3,3,2,2,4,4,5,4,2
1821,Ingeniería de Sistemas,6,Nocturna,Sí,77,4,2,4,3,2,2,2,4,2,3,2,4,3,4,4,5,3,5,4,5
1822,Ingeniería Electrónica,7,Vespertina,No,79,4,4,3,3,3,3,4,4,2,4,4,5,4,3,3,4,2,3,3,3
1823,Ingeniería de Sistemas,6,Nocturna,Sí,68,1,2,4,2,3,3,3,2,3,1,2,3,4,4,3,4,4,3,4,5
1824,Ingeniería de Sistemas,5,Matutina,No,74,3,3,3,4,4,3,4,3,5,4,3,3,3,3,3,1,3,3,3,4
1825,Ingeniería Eléctrica,6,Nocturna,Sí,75,4,2,3,4,2,2,4,1,1,2,1,5,3,3,2,5,3,3,4,4
1826,Ingeniería Eléctrica,7,Nocturna,No,70,2,2,4,4,3,2,2,2,4,3,4,3,2,4,3,4,4,3,4,2
1827,Ingeniería Eléctrica,6,Nocturna,No,87,3,5,4,3,5,4,3,3,3,1,4,5,3,5,4,3,4,5,4,4
1828,Ingeniería de Sistemas,5,Matutina,No,69,2,4,3,4,3,4,4,3,4,3,2,2,3,4,3,4,5,4,3,4
1829,Ingeniería Electrónica,7,Matutina,No,76,3,4,3,2,2,4,3,3,2,2,2,5,2,3,3,3,4,3,2,5
1830,Ingeniería Electrónica,5,Matutina,No,71,3,3,3,3,2,4,3,3,2,4,4,4,4,4,3,4,3,3,3,3
1831,Ingeniería Electrónica,7,Matutina,No,79,3,3,3,3,3,4,4,3,2,3,3,5,4,3,2,3,2,4,3,4
1832,Ingeniería Electrónica,6,Matutina,Sí,74,4,3,2,2,2,3,2,3,4,2,2,4,2,3,4,3,2,3,4,3
1833,Ingeniería de Sistemas,7,Matutina,Sí,75,3,3,3,2,3,3,4,4,4,3,4,3,3,4,3,4,5,4,2,3
1834,Ingeniería Electrónica,5,Matutina,No,88,4,3,4,3,3,4,5,3,4,3,5,2,3,2,2,2,3,3,5,5
1835,Ingeniería de Sistemas,6,Nocturna,No,67,3,3,3,2,3,3,2,2,2,3,3,3,4,4,3,3,4,2,5,4
1836,Ingeniería Eléctrica,7,Matutina,No,80,4,4,3,3,4,3,4,3,5,4,5,5,3,5,4,4,4,3,4,3
1837,Ingeniería Electrónica,6,Nocturna,Sí,60,3,2,2,3,3,4,4,3,3,4,4,4,3,4,4,3,1,3,3,5
1838,Ingeniería Eléctrica,6,Matutina,No,66,1,3,2,2,3,3,4,3,4,4,4,4,3,5,4,2,2,2,4,2
1839,Ingeniería de Sistemas,5,Vespertina,No,80,2,4,2,3,4,2,4,3,2,2,4,4,3,2,4,4,4,5,3,2
1840,Ingeniería de Sistemas,7,Nocturna,Sí,81,5,3,2,3,4,3,3,3,3,3,4,4,3,2,3,4,3,3,4,3
1841,Ingeniería de Sistemas,5,Vespertina,No,73,3,2,3,2,3,3,4,4,3,3,5,4,4,5,2,3,3,5,3,4
1842,Ingeniería de Sistemas,5,Nocturna,Sí,81,3,4,4,5,4,2,4,2,3,4,3,3,2,2,3,5,2,5,4,4
1843,Ingeniería Electrónica,5,Matutina,Sí,65,1,4,2,4,3,4,4,3,3,3,3,4,4,3,4,2,4,3,2,5
1844,Ingeniería de Sistemas,7,Matutina,No,85,4,3,4,4,3,2,2,2,3,4,4,2,2,3,3,3,2,3,3,3
1845,Ingeniería Electrónica,6,Vespertina,No,84,2,5,3,4,5,5,3,3,3,3,3,5,4,3,3,3,3,4,4,4
1846,Ingeniería Electrónica,7,Matutina,No,80,5,3,5,4,4,3,4,3,3,4,4,3,4,4,4,4,4,5,5,3
1847,Ingeniería Electrónica,7,Nocturna,Sí,70,4,3,3,4,3,1,3,1,2,2,3,3,2,3,3,4,3,4,3,3
1848,Ingeniería Electrónica,6,Matutina,No,69,1,2,1,3,3,2,4,4,4,2,2,4,4,4,3,3,4,2,4,5
1849,Ingeniería de Sistemas,6,Matutina,No,74,3,4,3,3,4,3,4,4,3,4,4,5,3,3,4,3,3,3,3,3
1850,Ingeniería Electrónica,5,Matutina,No,74,3,4,4,3,3,3,3,2,4,4,4,5,3,2,2,1,3,4,4,4
1851,Ingeniería de Sistemas,7,Vespertina,Sí,63,2,3,2,2,2,2,3,3,3,2,3,4,3,3,3,5,3,3,5,4
1852,Ingeniería Eléctrica,5,Matutina,No,82,3,4,5,2,3,3,2,3,4,3,4,4,4,3,4,2,3,2,3,4
1853,Ingeniería Eléctrica,6,Matutina,Sí,65,2,2,2,2,3,4,4,4,5,4,2,3,2,3,3,3,3,4,3,2
1854,Ingeniería de Sistemas,6,Matutina,No,80,4,2,2,2,3,3,3,2,4,2,4,3,4,3,2,3,2,4,4,3
1855,Ingeniería de Sistemas,5,Nocturna,Sí,65,4,2,3,4,4,1,2,2,3,4,3,4,2,4,3,4,2,2,4,5
1856,Ingeniería Eléctrica,5,Matutina,No,66,3,2,2,3,3,2,4,3,3,2,3,4,4,3,5,3,4,4,4,4
1857,Ingeniería Electrónica,6,Vespertina,No,79,2,3,3,5,4,2,2,2,4,2,5,4,3,2,4,4,4,3,4,5
1858,Ingeniería de Sistemas,6,Nocturna,No,89,4,5,4,4,4,3,4,3,4,2,5,2,2,5,3,3,2,4,4,4
1859,Ingeniería de Sistemas,6,Nocturna,Sí,73,2,3,2,4,2,3,4,4,3,2,5,4,3,2,3,4,2,3,3,4
1860,Ingeniería de Sistemas,5,Matutina,No,71,3,2,3,3,3,4,4,3,3,2,5,4,4,3,4,3,4,2,3,4
1861,Ingeniería Electrónica,5,Nocturna,No,75,4,3,3,3,3,5,2,3,3,1,3,2,4,2,4,2,4,2,4,4
1862,Ingeniería de Sistemas,7,Matutina,No,86,3,5,5,4,5,4,4,4,4,3,3,3,4,4,4,3,3,4,4,3
1863,Ingeniería Electrónica,7,Matutina,Sí,63,4,2,3,3,4,3,4,4,3,3,3,3,2,5,2,4,4,2,3,4
1864,Ingeniería Electrónica,6,Nocturna,Sí,57,4,3,2,2,1,1,2,4,1,3,4,3,4,4,3,4,2,2,3,3
1865,Ingeniería de Sistemas,6,Matutina,Sí,82,4,3,4,3,3,4,4,5,3,4,3,2,4,2,5,3,2,3,4,4
1866,Ingeniería Eléctrica,7,Matutina,No,65,2,4,3,3,2,4,1,2,3,2,3,3,3,3,3,3,4,3,5,4
1867,Ingeniería de Sistemas,7,Matutina,Sí,95,4,3,4,5,4,2,4,3,3,2,4,3,4,2,5,5,3,5,3,3
1868,Ingeniería Electrónica,7,Matutina,Sí,60,2,2,2,2,3,4,3,3,2,3,5,5,2,3,5,4,4,5,2,4
1869,Ingeniería Eléctrica,6,Matutina,No,99,5,5,4,4,4,2,5,2,2,5,3,3,3,2,3,2,4,4,3,3
1870,Ingeniería de Sistemas,6,Nocturna,No,67,4,4,3,3,1,2,4,3,3,2,2,4,2,3,4,3,4,5,3,3
1871,Ingeniería Eléctrica,6,Nocturna,Sí,74,2,4,3,2,4,1,2,3,3,3,2,4,4,2,3,3,3,3,2,3
1872,Ingeniería de Sistemas,5,Matutina,Sí,73,4,4,4,3,1,4,3,3,4,5,5,4,4,2,2,4,3,2,3,4
1873,Ingeniería Electrónica,7,Matutina,Sí,69,2,3,4,3,4,3,3,4,3,4,4,5,4,3,2,5,3,2,4,4
1874,Ingeniería de Sistemas,6,Vespertina,No,68,2,2,3,2,3,5,3,3,3,4,3,3,3,4,4,3,4,3,1,4
1875,Ingeniería de Sistemas,7,Nocturna,Sí,77,4,4,1,3,2,2,3,3,3,5,4,4,2,3,3,5,3,3,4,3
1876,Ingeniería Electrónica,6,Vespertina,Sí,71,3,1,3,3,1,1,3,4,5,1,5,4,3,5,4,3,1,4,3,5
1877,Ingeniería de Sistemas,7,Matutina,Sí,69,2,3,2,3,3,4,3,3,2,3,3,5,3,3,4,3,4,5,3,4
1878,Ingeniería de Sistemas,5,Vespertina,No,74,4,3,3,4,4,1,4,3,4,3,4,3,4,3,4,3,4,3,4,4
1879,Ingeniería Electrónica,6,Matutina,Sí,77,3,2,2,3,4,3,4,4,2,2,4,4,3,4,2,4,3,4,3,4
1880,Ingeniería Eléctrica,5,Nocturna,Sí,68,2,3,4,3,3,3,3,4,5,2,5,5,4,5,4,4,3,3,4,4
1881,Ingeniería Electrónica,5,Matutina,No,80,3,3,4,3,5,3,5,4,4,3,3,3,4,4,2,2,3,4,4,3
1882,Ingeniería Eléctrica,5,Vespertina,Sí,69,2,4,1,2,2,3,3,2,3,3,2,4,5,5,4,4,4,4,2,3
1883,Ingeniería de Sistemas,7,Vespertina,Sí,74,2,1,3,1,3,1,3,3,3,5,3,5,3,5,2,3,2,5,3,3
1884,Ingeniería Eléctrica,6,Nocturna,Sí,63,2,1,3,3,1,3,3,4,1,4,3,4,4,5,4,3,2,4,2,4
1885,Ingeniería Eléctrica,6,Matutina,No,69,3,4,3,3,2,2,2,2,3,4,3,4,3,3,3,2,3,5,3,4
1886,Ingeniería de Sistemas,5,Nocturna,No,79,3,2,4,3,4,3,4,4,3,3,5,4,3,4,5,1,2,3,4,4
1887,Ingeniería Eléctrica,6,Matutina,No,83,4,4,2,3,4,4,3,3,3,3,2,3,1,3,4,2,3,4,5,3
1888,Ingeniería de Sistemas,7,Matutina,No,72,4,3,4,3,4,2,3,3,4,5,3,4,2,3,4,2,3,4,4,3
1889,Ingeniería de Sistemas,7,Matutina,No,79,2,3,4,3,4,3,4,3,2,2,3,4,5,4,4,4,4,2,5,5
1890,Ingeniería de Sistemas,5,Matutina,No,97,3,3,4,5,3,5,3,2,3,1,4,3,2,3,3,5,4,4,4,1
1891,Ingeniería de Sistemas,7,Matutina,No,81,4,3,3,4,4,3,5,4,3,3,4,5,2,4,5,4,3,2,5,3
1892,Ingeniería Electrónica,5,Nocturna,No,84,3,3,3,3,3,2,3,3,4,3,3,3,2,3,2,3,5,3,2,3
1893,Ingeniería Eléctrica,6,Matutina,No,79,3,2,3,1,5,3,4,2,4,4,4,3,4,3,4,3,2,2,3,3
1894,Ingeniería Eléctrica,6,Vespertina,No,78,4,3,5,5,2,4,3,3,4,2,3,4,3,1,4,4,3,4,5,4
1895,Ingeniería Electrónica,5,Matutina,No,82,2,3,4,4,4,1,4,1,1,4,2,4,3,3,3,2,3,4,3,3
1896,Ingeniería Eléctrica,5,Matutina,No,68,3,3,3,3,2,2,3,3,3,3,5,5,2,4,3,3,5,5,4,4
1897,Ingeniería Electrónica,6,Vespertina,Sí,68,2,3,3,4,4,3,4,4,4,2,4,4,5,4,3,4,2,5,2,2
1898,Ingeniería de Sistemas,7,Matutina,No,78,4,2,3,4,3,1,4,3,3,3,4,3,4,5,2,2,5,5,3,3
1899,Ingeniería Eléctrica,7,Matutina,No,74,3,3,3,4,4,1,4,3,3,2,2,5,4,4,3,5,3,3,3,3
1900,Ingeniería de Sistemas,5,Nocturna,No,81,3,3,4,4,5,2,4,2,2,4,5,4,3,2,3,1,4,3,4,3
1901,Ingeniería Electrónica,5,Matutina,No,81,3,4,2,5,5,4,4,3,4,3,5,3,3,3,2,4,3,4,5,4
1902,Ingeniería Eléctrica,7,Vespertina,Sí,59,2,1,3,3,1,1,3,4,3,2,3,4,5,2,4,5,2,3,3,3
1903,Ingeniería de Sistemas,7,Vespertina,No,62,2,2,3,3,1,3,4,4,3,3,3,5,2,3,3,3,2,5,4,4
